Disease,Ingredients to Avoid,Serving Size (g),Calories Min,Calories Max,Total Fat Min (g),Total Fat Max (g),Saturated Fat Min (g),Saturated Fat Max (g),Trans Fat Min (g),Trans Fat Max (g),Cholesterol Min (mg),Cholesterol Max (mg),Sodium Min (mg),Sodium Max (mg),Total Carbohydrates Min (g),Total Carbohydrates Max (g),Sugar Min (g),Sugar Max (g),Protein Min (g),Protein Max (g),Vitamins,Minerals
Obesity,"Sulfites, dried fruits, MSG, Artificial sweeteners, Trans fats",100,100,300,5,15,0,5,0,1,0,30,100,500,10,50,0,15,10,25," Vitamin C, D"," Magnesium, Zinc"
Hepatitis,High-sodium foods; Sugary snacks; Processed meats; Carbonated beverages,100,150,300,5,20,0,5,0,1,0,30,100,500,20,60,0,10,10,20," Vitamin D, C"," Magnesium, Potassium"
Asthma,"Trans fats, sodium ,Artificial sweeteners, Fried foods",100,150,350,5,15,0,5,0,1,0,30,100,500,20,60,0,10,10,20," Vitamin A, D, E, and K", Sodium and Zinc
Parkinson's Disease,"Trans fats, Sugary snacks, Processed meats, Artificial preservatives",100,150,350,5,15,0,5,0,1,0,30,100,500,15,50,0,10,10,20," Vitamin D, C"," Magnesium, Zinc"
Rheumatoid Arthritis,Excess sodium; Caffeine; Sugary snacks,100,150,350,5,15,0,5,0,1,0,30,100,500,15,50,0,10,10,20," Vitamin D, K"," Calcium, Magnesium"
Chronic Obstructive Pulmonary Disease (COPD),Sugary snacks; Fried foods; Artificial sweeteners; Processed foods,100,150,350,5,20,0,5,0,1,0,30,100,500,15,50,0,10,10,20," Vitamin C, E"," Zinc, Selenium"
Cystic Fibrosis,High-sodium snacks; Sugary snacks; Trans fats,100,200,400,10,25,0,8,0,1,0,30,200,800,20,60,0,15,15,30," Vitamin A, C"," Magnesium, Zinc"
Osteopenia,Sugary snacks; Processed snacks; High-sodium foods,100,150,300,5,15,0,5,0,1,0,30,100,500,15,50,0,25,10,20, Vitamin D," Calcium, Magnesium"
Sarcopenia,"Trans fats ( partially hydrogenated oils); High sodium; Sugary snacks ( biscuits, candies); Artificial sweeteners; Processed meats",100,200,400,10,25,0,8,0,1,0,30,100,500,20,60,0,25,15,30," Vitamin D, C, and E"," Calcium, Magnesium, and Zinc"
Hashimoto's Thyroiditis,"High-fat snacks ( chips, pringles); Sugary beverages; Processed foods with artificial preservatives",100,150,300,5,15,0,5,0,1,0,30,100,500,15,50,0,25,10,20," Vitamin A, D, and E"," Calcium, Potassium, and Zinc"
Lupus,"Goitrogens ( raw cabbage, soy); Gluten (if sensitive); High-sugar snacks ( cakes, pastries)",100,150,350,5,15,0,5,0,1,0,30,100,500,20,60,0,25,10,25, Vitamin D and Selenium, Iodine and Magnesium
Multiple Sclerosis,Trans fats ( margarine); Processed snacks; Sugary beverages; Excess caffeine,100,150,350,5,20,0,5,0,1,0,30,100,500,15,50,0,25,10,25, Vitamin D and B12, Magnesium and Calcium
Kidney Stones,"oxalate, spinach, nuts, Sodium, chips, canned foods, Sugary snacks",100,150,300,5,15,0,5,0,1,0,30,100,500,15,50,0,25,10,20, Vitamin C (not excessive),Potassium <2000 mg/day; Calcium: Balanced
Cirrhosis,High sodium; Alcohol; Processed foods with preservatives,100,200,400,5,15,0,5,0,1,0,30,100,500,20,50,0,25,15,25, Vitamin K and D," Magnesium, Calcium"
